year,division,match_id,url_key,source_url,match_date,kickoff,section,home_team,away_team,home_score,away_score,venue,status,fetched_at,source_type,discovered_from,note
2026,1部,2026_D1_m01,m01,https://u15.kantolsl.com/2026/div1/m01,2026-04-05,12:00,第1節,三菱重工浦和レッズレディースジュニアユース,湘南ベルマーレU-15ガールズ,2,1,レッズランド,played,2026-09-06T21:46:26+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m02,m02,https://u15.kantolsl.com/2026/div1/m02,2026-04-05,13:00,第1節,ジェフユナイテッド市原・千葉レディースU-15,小美玉フットボールアカデミ,4,0,オカムラホーム・ジェフユナイテッドパーク船橋,played,2026-09-06T21:46:26+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m03,m03,https://u15.kantolsl.com/2026/div1/m03,2026-04-05,16:30,第1節,ノジマステラ神奈川相模原アヴェニーレ,INAC白岡SCレディース,4,1,ノジマフットボールパーク,played,2026-09-06T21:46:27+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m04,m04,https://u15.kantolsl.com/2026/div1/m04,2026-04-05,11:10,第1節,横須賀シーガルズMEG,VONDS市原FCレディ－スU-15,6,1,横須賀リーフスタジアム,played,2026-09-06T21:46:28+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m05,m05,https://u15.kantolsl.com/2026/div1/m05,2026-04-11,14:00,第2節,小美玉フットボールアカデミ,三菱重工浦和レッズレディースジュニアユース,1,1,タスパジャパンミート パーク,played,2026-09-06T21:46:29+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m06,m06,https://u15.kantolsl.com/2026/div1/m06,2026-04-12,17:10,第2節,湘南ベルマーレU-15ガールズ,ジェフユナイテッド市原・千葉レディースU-15,1,4,柳島スポーツ公園 総合競技場,played,2026-09-06T21:46:29+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m07,m07,https://u15.kantolsl.com/2026/div1/m07,2026-04-11,17:00,第2節,VONDS市原FCレディ－スU-15,ノジマステラ神奈川相模原アヴェニーレ,1,3,VONDSグリーンパーク,played,2026-09-06T21:46:30+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m08,m08,https://u15.kantolsl.com/2026/div1/m08,2026-04-11,11:15,第2節,INAC白岡SCレディース,横須賀シーガルズMEG,3,1,SFAフットボールセンタ,played,2026-09-06T21:46:31+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m09,m09,https://u15.kantolsl.com/2026/div1/m09,2026-04-18,16:00,第3節,三菱重工浦和レッズレディースジュニアユース,INAC白岡SCレディース,5,1,レッズランド,played,2026-09-06T21:46:32+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m10,m10,https://u15.kantolsl.com/2026/div1/m10,2026-04-19,14:00,第3節,ジェフユナイテッド市原・千葉レディースU-15,VONDS市原FCレディ－スU-15,9,2,オカムラホーム・ジェフユナイテッドパーク船橋,played,2026-09-06T21:46:32+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m11,m11,https://u15.kantolsl.com/2026/div1/m11,2026-04-18,16:30,第3節,ノジマステラ神奈川相模原アヴェニーレ,湘南ベルマーレU-15ガールズ,2,1,ノジマフットボールパーク,played,2026-09-06T21:46:33+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m12,m12,https://u15.kantolsl.com/2026/div1/m12,2026-04-18,15:10,第3節,横須賀シーガルズMEG,小美玉フットボールアカデミ,2,1,横須賀リーフスタジアム,played,2026-09-06T21:46:34+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m13,m13,https://u15.kantolsl.com/2026/div1/m13,2026-05-09,17:00,第4節,VONDS市原FCレディ－スU-15,三菱重工浦和レッズレディースジュニアユース,0,7,VONDSグリーンパーク,played,2026-09-06T21:46:35+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m14,m14,https://u15.kantolsl.com/2026/div1/m14,2026-05-10,15:00,第4節,INAC白岡SCレディース,ジェフユナイテッド市原・千葉レディースU-15,1,0,白岡市総合運動公園 陸上競技場,played,2026-09-06T21:46:36+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m15,m15,https://u15.kantolsl.com/2026/div1/m15,2026-05-09,14:00,第4節,小美玉フットボールアカデミ,ノジマステラ神奈川相模原アヴェニーレ,2,1,タスパジャパンミート パーク,played,2026-09-06T21:46:36+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m16,m16,https://u15.kantolsl.com/2026/div1/m16,2026-05-09,17:10,第4節,湘南ベルマーレU-15ガールズ,横須賀シーガルズMEG,3,2,柳島スポーツ公園 総合競技場,played,2026-09-06T21:46:37+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m17,m17,https://u15.kantolsl.com/2026/div1/m17,2026-05-16,15:10,第5節,横須賀シーガルズMEG,三菱重工浦和レッズレディースジュニアユース,1,3,東戸塚フットボールパーク,played,2026-09-06T21:46:38+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m18,m18,https://u15.kantolsl.com/2026/div1/m18,2026-05-17,12:00,第5節,ジェフユナイテッド市原・千葉レディースU-15,ノジマステラ神奈川相模原アヴェニーレ,0,2,オカムラホーム・ジェフユナイテッドパーク船橋,played,2026-09-06T21:46:39+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m19,m19,https://u15.kantolsl.com/2026/div1/m19,2026-05-16,17:00,第5節,VONDS市原FCレディ－スU-15,湘南ベルマーレU-15ガールズ,0,5,VONDSグリーンパーク,played,2026-09-06T21:46:40+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m20,m20,https://u15.kantolsl.com/2026/div1/m20,2026-05-17,11:15,第5節,INAC白岡SCレディース,小美玉フットボールアカデミ,0,3,SFAフットボールセンタ,played,2026-09-06T21:46:40+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m21,m21,https://u15.kantolsl.com/2026/div1/m21,2026-05-30,14:00,第6節,ノジマステラ神奈川相模原アヴェニーレ,三菱重工浦和レッズレディースジュニアユース,1,3,ノジマフットボールパーク,played,2026-09-06T21:46:41+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m22,m22,https://u15.kantolsl.com/2026/div1/m22,2026-05-30,15:10,第6節,横須賀シーガルズMEG,ジェフユナイテッド市原・千葉レディースU-15,2,3,横須賀リーフスタジアム,played,2026-09-06T21:46:42+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m23,m23,https://u15.kantolsl.com/2026/div1/m23,2026-05-30,14:00,第6節,小美玉フットボールアカデミ,VONDS市原FCレディ－スU-15,4,1,タスパジャパンミート パーク,played,2026-09-06T21:46:43+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m24,m24,https://u15.kantolsl.com/2026/div1/m24,2026-05-31,17:10,第6節,湘南ベルマーレU-15ガールズ,INAC白岡SCレディース,2,1,柳島スポーツ公園 総合競技場,played,2026-09-06T21:46:44+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m25,m25,https://u15.kantolsl.com/2026/div1/m25,2026-06-06,16:00,第7節,三菱重工浦和レッズレディースジュニアユース,ジェフユナイテッド市原・千葉レディースU-15,1,1,レッズランド,played,2026-09-06T21:46:44+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m26,m26,https://u15.kantolsl.com/2026/div1/m26,2026-06-06,14:00,第7節,ノジマステラ神奈川相模原アヴェニーレ,横須賀シーガルズMEG,2,0,ノジマフットボールパーク,played,2026-09-06T21:46:45+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m27,m27,https://u15.kantolsl.com/2026/div1/m27,2026-06-06,17:00,第7節,VONDS市原FCレディ－スU-15,INAC白岡SCレディース,0,6,VONDSグリーンパーク,played,2026-09-06T21:46:46+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m28,m28,https://u15.kantolsl.com/2026/div1/m28,2026-06-06,12:00,第7節,湘南ベルマーレU-15ガールズ,小美玉フットボールアカデミ,0,3,星槎箱根キャンパス仙石原グラウンド,played,2026-09-06T21:46:47+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
2026,1部,2026_D1_m29,m29,https://u15.kantolsl.com/2026/div1/m29,2026-09-05,13:40,第8節,湘南ベルマーレU-15ガールズ,三菱重工浦和レッズレディースジュニアユース,1,3,中井中央公園 多目的広場,played,2026-09-06T21:46:48+09:00,primary_match_page,https://u15.kantolsl.com/2026/div1,
