match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m17,1部,2025-05-17,第5節,ジェフユナイテッド市原・千葉レディースU-15,吉川葵,1,72分,https://u15.kantolsl.com/2025/div1/m17,
2025_D1_m17,1部,2025-05-17,第5節,INAC白岡SCレディース,小倉那月,2,29分|44分,https://u15.kantolsl.com/2025/div1/m17,
2025_D1_m17,1部,2025-05-17,第5節,INAC白岡SCレディース,菊地悠衣,1,12分,https://u15.kantolsl.com/2025/div1/m17,
2025_D1_m17,1部,2025-05-17,第5節,INAC白岡SCレディース,杉原芽依,1,59分,https://u15.kantolsl.com/2025/div1/m17,
2025_D1_m18,1部,2025-05-17,第5節,三菱重工浦和レッズレディースジュニアユース,浅野伶央,1,14分,https://u15.kantolsl.com/2025/div1/m18,
2025_D1_m18,1部,2025-05-17,第5節,三菱重工浦和レッズレディースジュニアユース,仙石みのり,1,67分,https://u15.kantolsl.com/2025/div1/m18,
2025_D1_m18,1部,2025-05-17,第5節,三菱重工浦和レッズレディースジュニアユース,徳生花音,1,72分,https://u15.kantolsl.com/2025/div1/m18,
2025_D1_m18,1部,2025-05-17,第5節,三菱重工浦和レッズレディースジュニアユース,増田彩衣里,1,74分,https://u15.kantolsl.com/2025/div1/m18,
2025_D1_m18,1部,2025-05-17,第5節,ちふれASエルフェン埼玉マリU-15,西脇姫花,1,66分,https://u15.kantolsl.com/2025/div1/m18,
2025_D1_m19,1部,2025-05-17,第5節,ノジマステラ神奈川相模原アヴェニーレ,中田優沙,1,51分,https://u15.kantolsl.com/2025/div1/m19,
2025_D1_m20,1部,2025-05-17,第5節,VONDS市原FCレディ－スU-15,長谷莉衣菜,1,71分,https://u15.kantolsl.com/2025/div1/m20,
2025_D1_m21,1部,2025-06-01,第6節,ちふれASエルフェン埼玉マリU-15,田中深都,1,29分,https://u15.kantolsl.com/2025/div1/m21,
2025_D1_m21,1部,2025-06-01,第6節,ジェフユナイテッド市原・千葉レディースU-15,吉川葵,2,32分|60分,https://u15.kantolsl.com/2025/div1/m21,
2025_D1_m21,1部,2025-06-01,第6節,ジェフユナイテッド市原・千葉レディースU-15,伊東空,1,68分,https://u15.kantolsl.com/2025/div1/m21,
2025_D1_m22,1部,2025-05-31,第6節,INAC白岡SCレディース,山崎向日葵,1,83分,https://u15.kantolsl.com/2025/div1/m22,
2025_D1_m22,1部,2025-05-31,第6節,三菱重工浦和レッズレディースジュニアユース,片岡菜葉,1,17分,https://u15.kantolsl.com/2025/div1/m22,
2025_D1_m22,1部,2025-05-31,第6節,三菱重工浦和レッズレディースジュニアユース,徳生花音,1,22分,https://u15.kantolsl.com/2025/div1/m22,
2025_D1_m22,1部,2025-05-31,第6節,三菱重工浦和レッズレディースジュニアユース,増田彩衣里,1,72分,https://u15.kantolsl.com/2025/div1/m22,
2025_D1_m23,1部,2025-05-31,第6節,VONDS市原FCレディ－スU-15,柴田麗衣,1,57分,https://u15.kantolsl.com/2025/div1/m23,
2025_D1_m23,1部,2025-05-31,第6節,ノジマステラ神奈川相模原アヴェニーレ,藺牟田芽依,1,6分,https://u15.kantolsl.com/2025/div1/m23,
2025_D1_m23,1部,2025-05-31,第6節,ノジマステラ神奈川相模原アヴェニーレ,平山樹歩,1,46分,https://u15.kantolsl.com/2025/div1/m23,
2025_D1_m23,1部,2025-05-31,第6節,ノジマステラ神奈川相模原アヴェニーレ,野口みどり,1,65分,https://u15.kantolsl.com/2025/div1/m23,
2025_D1_m25,1部,2025-06-08,第7節,ジェフユナイテッド市原・千葉レディースU-15,平野笑帆,1,35分,https://u15.kantolsl.com/2025/div1/m25,
2025_D1_m26,1部,2025-06-08,第7節,ちふれASエルフェン埼玉マリU-15,栢森咲夏,1,30分,https://u15.kantolsl.com/2025/div1/m26,
2025_D1_m26,1部,2025-06-08,第7節,INAC白岡SCレディース,津久井小花,1,73分,https://u15.kantolsl.com/2025/div1/m26,
2025_D1_m27,1部,2025-06-07,第7節,ノジマステラ神奈川相模原アヴェニーレ,比嘉まき,1,6分,https://u15.kantolsl.com/2025/div1/m27,
2025_D1_m27,1部,2025-06-07,第7節,ノジマステラ神奈川相模原アヴェニーレ,藺牟田芽依,1,15分,https://u15.kantolsl.com/2025/div1/m27,
2025_D1_m29,1部,2025-06-29,第8節,ジェフユナイテッド市原・千葉レディースU-15,中村美優,2,24分|32分,https://u15.kantolsl.com/2025/div1/m29,
2025_D1_m29,1部,2025-06-29,第8節,ジェフユナイテッド市原・千葉レディースU-15,岸本恵凛,1,30分,https://u15.kantolsl.com/2025/div1/m29,
