rank,team,division,goals,scorer_count,match_count,top_scorer,note
1,スフィーダ世田谷FCユース,2部,18,11,5,真田 小町(4)|関 まはる(4),team_heading_not_in_match:スフィーダ世田谷FCユース
2,栃木SCレディース,2部,17,7,7,清野 七愛(7),
3,INAC柏CRAVO FC,2部,15,8,5,加藤 なづな(3)|藤沢 美緒(3)|齊藤 楓花(3),
4,RB大宮アルディージャWOMEN U15,2部,7,6,4,奥田 利咲(2),team_heading_not_in_match:RB大宮アルディージャWOMEN U15
5,ちふれASエルフェン埼玉マリU-15,2部,6,5,5,松本 芽生(2),
5,十文字中学校,2部,6,5,5,市原 萌百花(2),
7,FC市川GUNNERSレディース,2部,5,4,3,下村 結七(2),
8,府ロクレディース,2部,3,2,3,會澤 萌乃風(2),team_heading_not_in_match:府ロクレディース
